id,prime_name,synonym_1,synonym_1_code,synonym_2,synonym_2_code,synonym_3,synonym_3_code,synonym_4,synonym_4_code,code
126,Morio Muscat,Morio-Muskat,MMK,,,,,,,MOM
127,Moscato Giallo,,,,,,,,,MGL
128,Mueller‐Thurgau,Muller-Thurgau,n/a,,,,,,,MUT
129,Muscadelle,Tokay,TOK,,,,,,,MCD
130,Muscardin,,,,,,,,,MCR
131,Muscat à petits grains noirs,Black Frontignac,BFR,,,,,,,MPG
132,Muscat Gordo Blanco,Gordo,GOR,Lexia,LEX,Muscat d'Alexandrie,MDA,Muscat ...,n/a,MGB
133,Muscat Hamburg,Muscat de Hambourg,MDH,Black Muscat,BMS,,,,,MDH
134,Muscat Menudo Blanco,,,,,,,,,MMB
135,Muscat Ottonel,,,,,,,,,MUO
136,Nebbiolo,,,,,,,,,NEB
137,Négrette,,,,,,,,,NGT
138,Negro Amaro,Negroamaro,NGO,,,,,,,NGA
139,Nero d'Avola,,,,,,,,,NDA
140,Nero di Troia,Uva di Troia,UDT,,,,,,,NDT
141,Nosiola,,,,,,,,,NOS
142,Ondenc,Irvine's White,IRV,,,,,,,OND
143,Orange Muscat,Muscat Fleur d'Oranger,MFO,,,,,,,OMS
144,Palomino,Listán,LIS,Palomino Fino,PLF,,,,,PAL
145,Parellada,,,,,,,,,PRL
146,Pavana,,,,,,,,,PAV
147,Pecorino,,,,,,,,,PEC
148,Pedro Ximenes,Pedro Ximenez,PXZ,,,,,,,PXM
149,Petit Verdot,,,,,,,,,PVE
150,Picardan,,,,,,,,,PIC
151,Picolit,,,,,,,,,PCO
152,Piedirosso,,,,,,,,,PDR
153,Pignoletto,Grechetto di Todi,GRT,,,,,,,PGN
154,Pinot Blanc,,,,,,,,,PBL
155,Pinot Gris,Pinot Grigio,PGR,Pinot Beurot,PBT,Ruländer,RUL,,,PGR
156,Pinot Meunier,Meunier,MEU,,,,,,,PME
157,Pinot Noir,Pinot Nero,PNR,,,,,,,PIN
158,Pinotage,,,,,,,,,PIT
159,Piquepoul Blanc,Piquepoul de Pinet,PQP,Piquepoul de Pinet,PQP,,,,,PQB
160,Piquepoul Noir,,,,,,,,,PQN
161,Prieto Picudo,,,,,,,,,PPC
162,Prosecco,Glera,GLE,,,,,,,PRO
163,Red Frontignac,Muscat a petits grains roses,MPS,,,,,,,RFR
164,Refosco dal Peduncolo Rosso,,,,,,,,,REF
165,Ribier,,,,,,,,,RIB
166,Ribolla Gialla,,,,,,,,,RBG
167,Riesling,,,,,,,,,RIE
168,Rkatsiteli,Rkatziteli,RKZ,,,,,,,RKA
169,Rondinella,,,,,,,,,RON
170,Rosaki,Waltham Cross,WCR,,,,,,,ROS
171,Rossese Bianco,,,,,,,,,RSB
172,Roussanne,,,,,,,,,ROU
173,Rubienne,,,,,,,,,RBI
174,Rubired,,,,,,,,,RBR
175,Ruby Cabernet,,,,,,,,,RUB
176,Sagrantino,,,,,,,,,SAG
177,Saint‐Macaire,,,,,,,,,STM
178,Sangiovese,Sangiveto,n/a,,,,,,,SGV
179,Saperavi,,,,,,,,,SAP
180,Sauvignon Blanc,Fumé Blanc,FBL,Sauvignon,SAU,,,,,SBL
181,Sauvignon Gris,,,,,,,,,SGR
182,Sauvignonasse,Sauvignon vert,SVV,,,,,,,SVV
183,Savagnin,Savagnin,SAV,Traminer,TRA,,,,,SVB
