Meslier/Meslier Doré/Petit Meslier  ,MES  ,  ,,
Molinara  ,MOL  ,  ,,
Mondeuse  ,MOD  ,  ,,
Montepulciano/Cordisco  ,MTP  ,  ,,
Montils  ,MTL  ,  ,,
Morio Muscat/Morio-Muskat  ,MOM  ,  ,,
Moscato Giallo  ,MGL  ,  ,,
Mueller‐Thurgau/Muller-Thurgau  ,MUT  ,  ,,
Muscadelle/Tokay  ,MCD  ,  ,,
Muscardin  ,MCR  ,  ,,
Muscat à petits grains noirs/Black Frontignac  ,MPG  ,  ,,
Muscat Gordo Blanco/Gordo/Lexia/Muscat d'Alexandrie/Muscat ...  ,MGB  ,  ,,
Muscat Hamburg/Muscat de Hambourg/Black Muscat  ,MDH  ,  ,,
Muscat Menudo Blanco  ,MMB  ,  ,,
Muscat Ottonel  ,MUO  ,  ,,
Nebbiolo  ,NEB  ,  ,,
Négrette  ,NGT  ,  ,,
Negro Amaro/Negroamaro  ,NGA  ,  ,,
Nero d'Avola  ,NDA  ,  ,,
Nero di Troia/Uva di Troia  ,NDT  ,  ,,
Nosiola  ,NOS  ,  ,,
Ondenc/Irvine's White  ,OND  ,  ,,
Orange Muscat/Muscat Fleur d'Oranger  ,OMS  ,  ,,
Palomino/Listán/Palomino Fino  ,PAL  ,  ,,
Parellada  ,PRL  ,  ,,
Pavana  ,PAV  ,  ,,
Pecorino  ,PEC  ,  ,,
Pedro Ximenes/Pedro Ximenez  ,PXM  ,  ,,
Petit Verdot  ,PVE  ,  ,,
Picardan  ,PIC  ,  ,,
Picolit  ,PCO  ,  ,,
Piedirosso  ,PDR  ,  ,,
Pignoletto/Grechetto di Todi  ,PGN  ,  ,,
Pinot Blanc  ,PBL  ,  ,,
Pinot Gris/Pinot Grigio/Pinot Beurot/Ruländer  ,PGR  ,  ,,
Pinot Meunier/Meunier  ,PME  ,  ,,
Pinot Noir/Pinot Nero  ,PIN  ,  ,,
Pinotage  ,PIT  ,  ,,
Piquepoul Blanc/Piquepoul de Pinet/Piquepoul de Pinet  ,PQB  ,  ,,
Piquepoul Noir  ,PQN  ,  ,,
Prieto Picudo  ,PPC  ,  ,,
Prosecco/Glera  ,PRO  ,  ,,
Red Frontignac/Muscat a petits grains roses  ,RFR  ,  ,,
Refosco dal Peduncolo Rosso  ,REF  ,  ,,
Ribier  ,RIB  ,  ,,
Ribolla Gialla  ,RBG  ,  ,,
Riesling  ,RIE  ,  ,,
Rkatsiteli/Rkatziteli  ,RKA  ,  ,,
Rondinella  ,RON  ,  ,,
Rosaki/Waltham Cross  ,ROS  ,  ,,
Rossese Bianco  ,RSB  ,  ,,
Roussanne  ,ROU  ,  ,,
Rubienne  ,RBI  ,  ,,
Rubired  ,RBR  ,  ,,
Ruby Cabernet  ,RUB  ,  ,,
Sagrantino  ,SAG  ,  ,,
Saint‐Macaire  ,STM  ,  ,,
Sangiovese/Sangiveto  ,SGV  ,  ,,
Saperavi  ,SAP  ,  ,,
Sauvignon Blanc/Fumé Blanc/Sauvignon  ,SBL  ,  ,,
Sauvignon Gris  ,SGR  ,  ,,
Sauvignonasse/Sauvignon vert  ,SVV  ,  ,,
Savagnin/Savagnin/Traminer  ,SVB  ,  ,,
Scheurebe  ,SCH  ,  ,,
Schioppettino  ,SBT  ,  ,,
Schönburger/Schoenburger/Schonburger  ,SCO  ,  ,,
Semillon  ,SEM  ,  ,,
Sercial  ,SER  ,  ,,
Shiraz/Syrah  ,SHZ  ,  ,,
Siegerrebe  ,SIE  ,  ,,
Souzao/Sousao/Vinhao  ,SOU  ,  ,,
St Laurent  ,STL  ,  ,,
Sultana/Sultanina/Thompson Seedless  ,SUL  ,  ,,
Summer Muscat  ,MUS  ,  ,,
Sumoll  ,SUM  ,  ,,
Sun Muscat  ,MSU  ,  ,,
Sylvaner/Silvaner  ,SYL  ,  ,,
Symphony  ,SYM  ,  ,,
Syrian  ,SYN  ,  ,,
Taminga  ,TAM  ,  ,,
Tannat  ,TAN  ,  ,,
Tarrango  ,TAR  ,  ,,
Tempranillo/Aragonez/Tinta Roriz  ,TMP  ,  ,,
Teroldego  ,TER  ,  ,,
Terret Noir  ,TRN  ,  ,,
Tinta Amarela/Trincadeira/Trincadeira Preta/Tinta Amarelha  ,TNA  ,  ,,
Tinta Barroca/Tinta Barocca  ,TNB  ,  ,,
Tinta Francisca  ,TNF  ,  ,,
Tinta Negra Mole/Tinta Negra/Negramoll  ,TNM  ,  ,,
Tintilia  ,TIN  ,  ,,
Tinto Câo/Tinta Câo  ,TNC  ,  ,,
Torrontes  ,TRR  ,  ,,
Touriga Franca/Touriga Francesa  ,TRF  ,  ,,
Touriga/Touriga Nacional  ,TOU  ,  ,,
Trebbiano/Ugni Blanc  ,TRB  ,  ,,
Trollinger  ,TRL  ,  ,,
Trousseau  ,TRU  ,  ,,
Tulillah  ,TUL  ,  ,,
Tyrian  ,TYR  ,  ,,
Unspecified  ,,  ,,
Vaccarese/Brun Argente  ,VAC  ,  ,,
Valdiguié  ,VAL  ,  ,,
Verdejo  ,VED  ,  ,,
Verdelho  ,VER  ,  ,,
Verdicchio Bianco  ,VRB  ,  ,,
Verduzzo  ,VDZ  ,  ,,
Vermentino/Rolle  ,VRM  ,  ,,
Vernaccia  ,VRN  ,  ,,
Villard Blanc  ,VLB  ,  ,,
Viognier  ,VIO  ,  ,,
Viosinho  ,VIS  ,  ,,
Xarello  ,XAR  ,  ,,
Zinfandel/Primitivo/Tribidrag  ,ZIN  ,  ,,
Zweigelt/Zweigeltrebe  ,ZWE  ,  ,,
