Lambrusco Salamino  ,LMS  ,  ,,
Lemberger  ,LEM  ,  ,,
Lexia  ,LEX  ,  ,,
Limberger  ,LIM  ,  ,,
Listán  ,LIS  ,  ,,
Macabeo  ,MAC  ,  ,,
Maccabeo  ,MCC  ,  ,,
Maceratino  ,MCT  ,  ,,
Malbec  ,MAL  ,  ,,
Malvasia  ,MLV  ,  ,,
Malvasia Bianca  ,MVB  ,  ,,
Malvasia Fina  ,MLF  ,  ,,
Malvasia Istria  ,MVI  ,  ,,
Malvasia Istriana  ,MLI  ,  ,,
Mammolo  ,MAM  ,  ,,
Manseng Petit Blanc  ,MNP  ,  ,,
Mansengou  ,MAN  ,  ,,
Marroo Seedless  ,MRS  ,  ,,
Marsanne  ,MAR  ,  ,,
Marzemino  ,MRZ  ,  ,,
Mataro  ,MAT  ,  ,,
Mazuela  ,MAZ  ,  ,,
Melon  ,MEL  ,  ,,
Mencia  ,MEN  ,  ,,
Merbein Seedless  ,MBS  ,  ,,
Merlot  ,MER  ,  ,,
Meslier  ,MES  ,  ,,
Meslier Doré  ,MDO  ,  ,,
Meunier  ,MEU  ,  ,,
Molinara  ,MOL  ,  ,,
Monastrell  ,MON  ,  ,,
Mondeuse  ,MOD  ,  ,,
Montepulciano  ,MTP  ,  ,,
Montils  ,MTL  ,  ,,
Morio Muscat  ,MOM  ,  ,,
Morio-Muskat  ,MMK  ,  ,,
Morrastel  ,MOR  ,  ,,
Moscato  ,MOS  ,  ,,
Moscato Bianco  ,MOB  ,  ,,
Moscato Giallo  ,MGL  ,  ,,
Mourvèdre  ,MOU  ,  ,,
Mueller‐Thurgau  ,MUT  ,  ,,
Muller‐Thurgau  ,MLT  ,  ,,
Muscadelle  ,MCD  ,  ,,
Muscadet  ,MSD  ,  ,,
Muscardin  ,MCR  ,  ,,
Muscat à petits grains blancs  ,MPB  ,  ,,
Muscat à petits grains noirs  ,MPN  ,  ,,
Muscat a petits grains roses  ,MPS  ,  ,,
Muscat à petits grains rouges  ,MPR  ,  ,,
Muscat Blanc  ,MUB  ,  ,,
Muscat d'Alexandrie  ,MDA  ,  ,,
Muscat de Hambourg  ,MDH  ,  ,,
Muscat Fleur d'Oranger  ,MFO  ,  ,,
Muscat Gordo Blanco  ,MGB  ,  ,,
Muscat Hamburg  ,MHM  ,  ,,
Muscat Menudo Blanco  ,MMB  ,  ,,
Muscat of Alexandria  ,MOE  ,  ,,
Nebbiolo  ,NEB  ,  ,,
Negramoll  ,NEG  ,  ,,
Négrette  ,NGT  ,  ,,
Negro Amaro  ,NGA  ,  ,,
Negroamaro  ,NGO  ,  ,,
Nero d'Avola  ,NDA  ,  ,,
Nero di Troia  ,NDT  ,  ,,
Nosiola  ,NOS  ,  ,,
Oeillade  ,OEI  ,  ,,
Ondenc  ,OND  ,  ,,
Orange Muscat  ,OMS  ,  ,,
Palomino  ,PAL  ,  ,,
Palomino Fino  ,PLF  ,  ,,
Parellada  ,PRL  ,  ,,
Parraleta  ,PAR  ,  ,,
Pavana  ,PAV  ,  ,,
Pecorino  ,PEC  ,  ,,
Pedro Ximenes  ,PXM  ,  ,,
Pedro Ximenez  ,PXZ  ,  ,,
Petit Manseng  ,PMN  ,  ,,
Petit Meslier  ,PMS  ,  ,,
Petit Verdot  ,PVE  ,  ,,
Petite Sirah  ,PTS  ,  ,,
Picardan  ,PIC  ,  ,,
Picolit  ,PCO  ,  ,,
Picpoul de Pinet  ,PDP  ,  ,,
Piedirosso  ,PDR  ,  ,,
Pignoletto  ,PGN  ,  ,,
Pinot Beurot  ,PBT  ,  ,,
Pinot Blanc  ,PBL  ,  ,,
Pinot Grigio  ,PGR  ,  ,,
Pinot Gris  ,PIG  ,  ,,
Pinot Meunier  ,PME  ,  ,,
Pinot Nero  ,PNR  ,  ,,
Pinot Noir  ,PIN  ,  ,,
Pinotage  ,PT  ,  ,,
Pinots  ,PNS  ,  ,,
Piquepoul Blanc  ,PQB  ,  ,,
Piquepoul de Pinet  ,PQP  ,  ,,
Piquepoul Noir  ,PQN  ,  ,,
Planta Fina de Pedralba  ,PFP  ,  ,,
Prieto Picudo  ,PPC  ,  ,,
Primitivo  ,PRM  ,  ,,
Prosecco  ,PRO  ,  ,,
Red Frontignac  ,RFR  ,  ,,
Red Traminer  ,RTR  ,  ,,
Refosco dal Peduncolo Rosso  ,REF  ,  ,,
Ribier  ,RIB  ,  ,,
Ribolla Gialla  ,RBG  ,  ,,
Riesling  ,RIE  ,  ,,
Rkatsiteli  ,RKA  ,  ,,
Rkatziteli  ,RKZ  ,  ,,
Rolle  ,RLL  ,  ,,
Rondinella  ,RON  ,  ,,
Rosaki  ,ROS  ,  ,,
Rossese Bianco  ,RSB  ,  ,,
Roussanne  ,ROU  ,  ,,
Rubienne  ,RBI  ,  ,,
Rubired  ,RBR  ,  ,,
Ruby Cabernet  ,RUB  ,  ,,
Ruländer  ,RUL  ,  ,,
Sagrantino  ,SAG  ,  ,,
Saint‐Macaire  ,STM  ,  ,,
Sangiovese  ,SGV  ,  ,,
Sangioveto  ,SGT  ,  ,,
Saperavi  ,SAP  ,  ,,
Sauvignon  ,SAU  ,  ,,
Sauvignon Blanc  ,SBL  ,  ,,
Sauvignon Gris  ,SGR  ,  ,,
Sauvignon vert  ,SVV  ,  ,,
Sauvignonasse  ,SVG  ,  ,,
Savagnin  ,SAV  ,  ,,
Savagnin Blanc  ,SVB  ,  ,,
Savagnin Rose Aromatique  ,SRA  ,  ,,
Scheurebe  ,SCH  ,  ,,
Schioppettino  ,SBT  ,  ,,
Schoenburger  ,SCO  ,  ,,
Schonburger  ,SCB  ,  ,,
Schönburger  ,SOB  ,  ,,
Semillon  ,SEM  ,  ,,
Sercial  ,SER  ,  ,,
Shiraz  ,SHZ  ,  ,,
Siegerrebe  ,SIE  ,  ,,
Silvaner  ,SIL  ,  ,,
Sousao  ,SOS  ,  ,,
Souzao  ,SOU  ,  ,,
St Laurent  ,STL  ,  ,,
Sultana  ,SUL  ,  ,,
Sultanina  ,SUA  ,  ,,
Sumoll  ,SUM  ,  ,,
Sylvaner  ,SYL  ,  ,,
Symphony  ,SYM  ,  ,,
Syrah  ,SYR  ,  ,,
